model,accuracy,precision,recall,f1_score,roc_auc,cv_accuracy_mean,cv_accuracy_std
XGBoost,0.8642857142857143,0.8591065292096219,0.8223684210526315,0.8403361344537815,0.9292873914584441,0.8485714285714285,0.0023084189797220535
Logistic Regression,0.8504761904761905,0.8174097664543525,0.8442982456140351,0.8306364617044228,0.9270187252643394,0.8394047619047619,0.003158690276528941
Random Forest,0.8471428571428572,0.8316498316498316,0.8125,0.8219633943427621,0.9195583392403567,0.836904761904762,0.006105181621408626
